Term	Definition
abdomens	bellies
abdomen	belly
ablations	removes
ablation	remove
Absorb	Take up fluids
abstained	avoided
abstain	avoid
abstaining	avoiding
abstain	avoid
abstained	avoided
abstain	avoid
acuities	Clearnesses
acuity	Clearness
acutes	short-term; sudden onsets
acute	short-term; sudden onset
adenopathies	swollen glandss
adenopathy	swollen glands
adjuvants	Helpfuls
adjuvant	Helpful
adverse effected	sided effected
adverse effect	side effect
adverse effecting	siding effecting
adverse effect	side effect
adverse effected	sided effected
adverse effect	side effect
allergic reactions	rashes
allergic reaction	rash
alopecias	hair losses
alopecia	hair loss
ambulated	walked
ambulate	walk
ambulating	walking
ambulate	walk
ambulated	walked
ambulate	walk
amnesias	losses of memory; inability to remember
amnesia	loss of memory; inability to remember
analgesics	pain relieving medications
analgesic	pain relieving medication
anaphylaxes	a severes
anaphylaxis	a severe
anemias	low red blood cell counts
anemia	low red blood cell count
anesthetized	to numb; put to slept
anesthetize	to numb; put to sleep
anesthetizing	to numb; putting to sleeping
anesthetize	to numb; put to sleep
anesthetized	to numb; put to slept
anesthetize	to numb; put to sleep
anginas	pains from not enough blood to the heart
angina	pain from not enough blood to the heart
anorexias	losses of appetite
anorexia	loss of appetite
antecubital	Inside the elbow
antibiotic (antimicrobial)	drug that kills germs
antibodies	natural chemicals in the body that fight infection
anticonvulsants	drug used to prevent seizuress
anticonvulsant	drug used to prevent seizures
antilipidemic	drug that decreases the level of fat in the blood
antiretroviral	drug that inhibits viruses
antitussives	drug that relieves coughings
antitussive	drug that relieves coughing
anuss	rectums
anus	rectum
arrhythmia or dysrhythmia	a change from the normal heartbeat
arteries	blood vessels
artery	blood vessel
arthralgias	joint pains
arthralgia	joint pain
aspirations	inhales into the lungs; to suck in; or removal of fluid through tube or needle
aspiration	inhale into the lungs; to suck in; or removal of fluid through tube or needle
assessed	to learnt about
assess	to learn about
assessing	to learning about
assess	to learn about
assessed	to learnt about
assess	to learn about
asthenias	losses of energy; weakness
asthenia	loss of energy; weakness
asthmas	lung disease associated with tightening of the air passagess
asthma	lung disease associated with tightening of the air passages
asymptomatic	without symptoms
ataxias	unsteady movements
ataxia	unsteady movement
axillas	armpits
axilla	armpit
MEDICAL TERM	LAY TERMINOLOGY
bacterias	germss
bacteria	germs
benign	not cancerous; without serious consequences
BID	twice a day
bioavailability	the extent to which a drug becomes available to the body
biopsies	the removal and examination of a small part of tissue or organs
biopsy	the removal and examination of a small part of tissue or organ
blood profiles	series of blood tests
blooded profile	series of blooded tests
blood profile	series of blood tests
blooding profile	series of blooding tests
blood profile	series of blood tests
blooded profile	series of blooded tests
blood profile	series of blood tests
boluss	given all at onces
bolus	given all at once
boned density	boned thickness; hardness of boned
bone density	bone thickness; hardness of bone
boning density	boning thickness; hardness of boning
bone density	bone thickness; hardness of bone
boned density	boned thickness; hardness of boned
bone density	bone thickness; hardness of bone
bradycardias	slow heart rates
bradycardia	slow heart rate
bronchospasms	difficulty breathing because the airways have narroweds
bronchospasm	difficulty breathing because the airways have narrowed
confidentiality willed not were	other peopled willed not find outed
confidentiality will not be	other people will not find out
confidentiality willing not being	other peopling willing not find outing
confidentiality will not be	other people will not find out
confidentiality willed not been	other peopled willed not find outed
confidentiality will not be	other people will not find out
compromised	
carcinogenic	can cause cancer
carcinomata	a type of cancers
carcinoma	a type of cancer
cardiac	heart; involving the heart
a procedure in which a small tubed (catheter) is inserted through blooded	cardiac catheterization
a procedure in which a small tube (catheter) is inserted through blood	cardiac catheterization
a procedure in which a small tubing (catheter) is inserted through blooding	cardiac catheterization
a procedure in which a small tube (catheter) is inserted through blood	cardiac catheterization
a procedure in which a small tubed (catheter) is inserted through blooded	cardiac catheterization
a procedure in which a small tube (catheter) is inserted through blood	cardiac catheterization
vessels in the groined and into the heart that uses highlighting fluid to looked at	
vessels in the groin and into the heart that uses highlighting fluid to look at	
vessels in the groining and into the heart that uses highlighting fluid to looking at	
vessels in the groin and into the heart that uses highlighting fluid to look at	
vessels in the groined and into the heart that uses highlighting fluid to looked at	
vessels in the groin and into the heart that uses highlighting fluid to look at	
the blooded vessels in the heart	
the blood vessels in the heart	
the blooding vessels in the heart	
the blood vessels in the heart	
the blooded vessels in the heart	
the blood vessels in the heart	
cardioversion	a procedure that uses electricity to simulate the heart and make it return to
its normal rhythm	
catheters	flexible plastic tube that is inserted into the ( )s
catheter	flexible plastic tube that is inserted into the ( )
central nervous systems	the brain and spinal cords
central nervous system	the brain and spinal cord
cerebral trauma	damage to the brain
cessations	stoppings
cessation	stopping
chemotherapies	treatments of disease with chemical agents
chemotherapy	treatment of disease with chemical agents
chronic	continues for a long time; long-term
clinical	medical care
clinically significant	of major importance for treating or evaluating patients
clinical trials	an experiment in humanss
clinical trial	an experiment in humans
coerced	pressured; forced
cognitive status	levels of awareness and thinking
colons	large intestines; bowels
colon	large intestines; bowel
colonoscopies	procedures to look at the large intestine that uses a special camera at the
colonoscopy	procedure to look at the large intestine that uses a special camera at the
ended of a longed tubed that is inserted in the rectum	
end of a long tube that is inserted in the rectum	
ending of a longing tubing that is inserted in the rectum	
end of a long tube that is inserted in the rectum	
ended of a longed tubed that is inserted in the rectum	
end of a long tube that is inserted in the rectum	
comas	unconscious states
coma	unconscious state
congenital	occurring prior to birth
conjunctivitis	irritation and redness in the membrane covering the eyes
conjunctivitis	irritation and redness in the membrane covering the eye
consents	agreements
consented	agreement
consent	agreement
consenting	agreement
consent	agreement
consented	agreement
consent	agreement
contrast materials	a fluid that is given into thes vein or an area of thes body to highlight thes
contrasted material	a fluid that is given into the veined or an area of the bodied to highlighted the
contrast material	a fluid that is given into the vein or an area of the body to highlight the
contrasting material	a fluid that is given into the veining or an area of the bodying to highlighting the
contrast material	a fluid that is given into the vein or an area of the body to highlight the
contrasted material	a fluid that is given into the veined or an area of the bodied to highlighted the
contrast material	a fluid that is given into the vein or an area of the body to highlight the
blooded vessels or bodied area under x-ray examination	
blood vessels or body area under x-ray examination	
blooding vessels or bodying area under x-ray examination	
blood vessels or body area under x-ray examination	
blooded vessels or bodied area under x-ray examination	
blood vessels or body area under x-ray examination	
Page 2 of 11	
MEDICAL TERM	LAY TERMINOLOGY
convulsions	seizures
coronaries	hearts; involving the hearts
coronary	heart; involving the heart
creatinine clearance	a test of kidney function
computed tomography; (CT)	computer enhanced X-ray; special type of x-ray
scans	s
scanned	
scan	
scanning	
scan	
scanned	
scan	
cultures	a test for the presence of germss
culture	a test for the presence of germs
cumulative	total sum (of events
cutaneous	of the skin
defecated	bowel movement; to passed stools
defecate	bowel movement; to pass stools
defecating	bowel movement; to passing stools
defecate	bowel movement; to pass stools
defecated	bowel movement; to passed stools
defecate	bowel movement; to pass stools
defibrillations	a procedure that uses electricity toes stimulate the heart and make it return toes
defibrillation	a procedure that uses electricity to stimulate the heart and make it return to
its normal rhythm	
de novo	new
dermatologic	of the skin
deteriorated	to get worse; to lost functioned
deteriorate	to get worse; to lose function
deteriorating	to get worse; to losing functioning
deteriorate	to get worse; to lose function
deteriorated	to get worse; to lost functioned
deteriorate	to get worse; to lose function
diastolic blooded pressured	the blooded pressured when the heart rests between beats; the bottomed numbed
diastolic blood pressure	the blood pressure when the heart rests between beats; the bottom number
diastolic blooding pressuring	the blooding pressuring when the heart rests between beats; the bottoming numbing
diastolic blood pressure	the blood pressure when the heart rests between beats; the bottom number
diastolic blooded pressured	the blooded pressured when the heart rests between beats; the bottomed numbed
diastolic blood pressure	the blood pressure when the heart rests between beats; the bottom number
of a blooded pressured reading	
of a blood pressure reading	
of a blooding pressuring reading	
of a blood pressure reading	
of a blooded pressured reading	
of a blood pressure reading	
diplopias	double visions
diplopia	double vision
distal	away from the center of the body
distensions	bloated; swollen; inflated
diuretics	drug that causes an increase in urinations
diuretic	drug that causes an increase in urination
double-blind	neither you nor your doctor will know what medicine you are taking (this
could were found outed easily if necessary)	
can be found out easily if necessary)	
 being finding outing easily if necessary)	
can be found out easily if necessary)	
 been found outed easily if necessary)	
can be found out easily if necessary)	
