Term	Definition
abscesses	sores
abscess	sore
abdomens	stomaches
abdomen	stomach
abilities	skills
ability	skill
abolished	ended
abolish	end
abolishing	ending
abolish	end
abolished	ended
abolish	end
abrasions	cuts
abrasion	cut
absenteeisms	missing work or schools
absenteeism	missing work or school
absorptions	takes in
absorption	take in
accelerated	hurried
accelerate	hurry
accelerating	hurrying
accelerate	hurry
accelerated	hurried
accelerate	hurry
accessible	available
accommodated	housed
accommodate	house
accommodating	housing
accommodate	house
accommodated	housed
accommodate	house
accompanied	went with
accompany	go with
accompanying	going with
accompany	go with
accompanied	gone with
accompany	go with
accomplished	did
accomplish	do
accomplishing	doing
accomplish	do
accomplished	done
accomplish	do
accumulated	added upped
accumulate	add up
accumulating	adding upping
accumulate	add up
accumulated	added upped
accumulate	add up
accurate	true
acellular vaccine	a vaccine that only contains part of the virus
Acquired Immune Deficiency Syndrome-AIDS	a disease that makes it hard for your body to fight diseases
active immunities	being able to fight off a specific diseases once you have had that diseases
active immunity	being able to fight off a specific disease once you have had that disease
acutes	sudden starts
acute	sudden start
additional	extra
adequate	enough
adhered	stuck
adhere	stick
adhering	sticking
adhere	stick
adhered	stuck
adhere	stick
adjacent	beside
adjuvants	something added to a vaccine to make it work betters
adjuvant	something added to a vaccine to make it work better
administered	gave
administer	give
administering	giving
administer	give
administered	given
administer	give
adverse event	something bad that happens
adverse health effected	bad sided effected
adverse health effect	bad side effect
adverse health effecting	bad siding effecting
adverse health effect	bad side effect
adverse health effected	bad sided effected
adverse health effects	bad side effects
adverse	bad
advised	told
advise	tell
advising	telling
advise	tell
advised	told
advise	tell
advocacies	supports
advocacy	support
advocates	fights for
advocated	fought for
advocate	fight for
advocating	fighting for
advocate	fight for
advocated	fought for
advocate	fight for
aerobic exercises	exercise; slow and steady exercise like walkings
aerobic exercised	exercise; slowed and steadied exercised liked walking
aerobic exercise	exercise; slow and steady exercise like walking
aerobic exercising	exercise; slowing and steadying exercising liking walking
aerobic exercise	exercise; slow and steady exercise like walking
aerobic exercised	exercise; slowed and steadied exercised liked walking
aerobic exercise	exercise; slow and steady exercise like walking
aerobic	needs oxygen
aerosols	sprays
aerosol	spray
agencies	otherss
agency	others
aggravated	made worse
aggravate	make worse
aggravating	making worse
aggravate	make worse
aggravated	made worse
aggravate	make worse
aggregates	taken togethers
aggregated	taken together
aggregate	taken together
aggregating	taken together
aggregate	taken together
aggregated	taken together
aggregate	taken together
aggressive	pushy
airways	windpipe
pathway from nosed and mouthed to lungs, aired tubes	
pathway from nose and mouth to lungs, air tubes	
pathway from nosing and mouthing to lungs, airing tubes	
pathway from nose and mouth to lungs, air tubes	
